Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Alessandro Albanese,be BEL,"MF,FW",Oostende,21,2000,8,3,323,3.6,1,0,1,1,0,0,0,0,0.28,0.00,0.28,0.28,0.28
Alfonso,mz MOZ,MF,Oostende,21,1999,18,13,"1,107",12.3,2,0,2,2,0,0,8,1,0.16,0.00,0.16,0.16,0.16
Arthur Allemeersch,be BEL,FW,OH Leuven,20,2001,4,2,128,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Teddy Alloh,fr FRA,"MF,DF",Eupen,19,2002,12,8,682,7.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Mohammed Amine Essahel,ma MAR,MF,Eupen,18,2003,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Francis Amuzu,be BEL,"MF,FW",Anderlecht,21,1999,31,8,"1,142",12.7,5,3,8,5,0,0,6,0,0.39,0.24,0.63,0.39,0.63
Stelios Andreou,cy CYP,DF,Charleroi,19,2002,24,23,"2,150",23.9,1,0,1,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04
Kristian Arnstad,no NOR,MF,Anderlecht,17,2003,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Gerardo Arteaga,mx MEX,DF,Genk,22,1998,26,24,"2,203",24.5,0,4,4,0,0,0,4,1,0.00,0.16,0.16,0.00,0.16
Majeed Ashimeru,gh GHA,MF,Anderlecht,23,1997,31,10,"1,124",12.5,3,2,5,3,0,0,4,1,0.24,0.16,0.40,0.24,0.40
Muhammed Badamosi,gm GAM,FW,Kortrijk,22,1998,22,14,"1,199",13.3,1,1,2,1,0,0,4,0,0.08,0.08,0.15,0.08,0.15
Youssouph Badji,sn SEN,FW,Charleroi,19,2001,9,5,547,6.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Michel-Ange Balikwisha,be BEL,"FW,MF",Antwerp,20,2001,26,20,"1,755",19.5,4,3,7,4,0,0,3,0,0.21,0.15,0.36,0.21,0.36
Nelson Balongo,,FW,Sint-Truiden,22,1999,10,1,240,2.7,1,0,1,1,0,0,0,0,0.37,0.00,0.37,0.37,0.37
Jelle Bataille,be BEL,"DF,MF",Antwerp,22,1999,26,17,"1,623",18.0,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00
Nick Bätzner,de GER,"MF,FW",Oostende,21,2000,30,20,"1,925",21.4,2,4,6,2,0,0,4,0,0.09,0.19,0.28,0.09,0.28
Yassine Ben Hamed,fr FRA,DF,Antwerp,18,2003,1,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Amine Benchaib,ma MAR,MF,Charleroi,23,1998,11,0,129,1.4,0,1,1,0,0,0,0,0,0.00,0.70,0.70,0.00,0.70
Amine Benchaib,ma MAR,MF,Kortrijk,23,1998,5,1,167,1.9,2,0,2,2,0,0,1,0,1.08,0.00,1.08,1.08,1.08
Tsotne Bendianishvili,ge GEO,MF,Kortrijk,18,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Antoine Bernier,be BEL,"MF,FW",R.F.C. Seraing,23,1997,29,23,"1,869",20.8,1,2,3,1,0,0,3,0,0.05,0.10,0.14,0.05,0.14
Loïc Bessile,tg TOG,DF,Charleroi,22,1999,17,14,"1,180",13.1,2,0,2,2,0,0,2,0,0.15,0.00,0.15,0.15,0.15
Arnaud Bodart,be BEL,GK,Standard Liège,23,1998,25,25,"2,250",25.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Indy Boonen,be BEL,MF,Oostende,22,1999,5,3,248,2.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Tajon Buchanan,ca CAN,MF,Club Brugge,22,1999,9,8,729,8.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Liberato Cacace,nz NZL,MF,Sint-Truiden,20,2000,23,16,"1,483",16.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Mathieu Cachbach,be BEL,MF,R.F.C. Seraing,20,2001,15,9,713,7.9,0,1,1,0,0,0,1,1,0.00,0.13,0.13,0.00,0.13
Moisés Caicedo,ec ECU,MF,Beerschot,19,2001,12,10,752,8.4,1,1,2,1,0,0,2,0,0.12,0.12,0.24,0.12,0.24
Alexandro Calut,be BEL,"DF,MF",Standard Liège,18,2003,8,8,668,7.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Cihan Çanak,tr TUR,MF,Standard Liège,16,2005,3,0,63,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Giorgi Chakvetadze,ge GEO,"MF,FW",Gent,21,1999,8,4,286,3.2,0,2,2,0,0,0,0,1,0.00,0.63,0.63,0.00,0.63
Ismaila Cheick Coulibaly,ml MLI,MF,Beerschot,20,2000,20,12,"1,064",11.8,0,1,1,0,0,0,4,0,0.00,0.08,0.08,0.00,0.08
Ibrahima Cissé,ml MLI,DF,Gent,20,2001,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Gaëtan Coucke,be BEL,GK,Mechelen,22,1998,30,30,"2,671",29.7,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00
Carlos Cuesta,co COL,DF,Genk,22,1999,18,13,"1,131",12.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Robbie D'Haese,be BEL,"MF,FW",Oostende,22,1999,22,13,"1,052",11.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Ameen Al-Dakhil,be BEL,DF,Standard Liège,19,2002,13,11,924,10.3,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00
Ameen Al-Dakhil,be BEL,DF,Sint-Truiden,19,2002,9,6,562,6.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Jesper Daland,no NOR,DF,Cercle Brugge,21,2000,32,32,"2,731",30.3,2,0,2,2,0,0,6,0,0.07,0.00,0.07,0.07,0.07
Wout De Buyser,be BEL,DF,Zulte Waregem,20,2001,1,1,63,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Charles De Ketelaere,be BEL,"FW,MF",Club Brugge,20,2001,33,31,"2,725",30.3,14,6,20,14,0,0,4,0,0.46,0.20,0.66,0.46,0.66
Dion De Neve,be BEL,"MF,FW",Zulte Waregem,19,2002,17,7,740,8.2,2,1,3,2,0,0,1,0,0.24,0.12,0.36,0.24,0.36
Rousseau De Poorter,ht HAI,FW,Zulte Waregem,19,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Thibault De Smet,be BEL,"MF,DF",Beerschot,23,1998,23,18,"1,490",16.6,0,1,1,0,0,0,8,3,0.00,0.06,0.06,0.00,0.06
Zeno Debast,be BEL,DF,Anderlecht,17,2003,5,4,391,4.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Robbe Decostere,be BEL,"DF,MF",Cercle Brugge,23,1998,20,15,"1,233",13.7,0,1,1,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07
Hannes Delcroix,be BEL,DF,Anderlecht,22,1999,5,3,295,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Mathias Delorge,be BEL,MF,Sint-Truiden,17,2004,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Maxim Deman,be BEL,GK,Kortrijk,19,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Olivier Deman,be BEL,"FW,MF",Cercle Brugge,21,2000,32,24,"1,879",20.9,2,0,2,2,0,0,7,0,0.10,0.00,0.10,0.10,0.10
Bas van den Eynden,be BEL,MF,Mechelen,19,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Kévin Denkey,tg TOG,FW,Cercle Brugge,20,2000,28,13,"1,283",14.3,6,0,6,6,0,0,2,0,0.42,0.00,0.42,0.42,0.42
Jerome Deom,be BEL,"MF,FW",Eupen,22,1999,30,9,"1,111",12.3,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00
Anthony Descotte,be BEL,FW,Charleroi,17,2003,8,1,170,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Guillaume Dietsch,fr FRA,GK,R.F.C. Seraing,20,2001,33,33,"2,961",32.9,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00
Rayan Djédjé,fr FRA,MF,R.F.C. Seraing,20,2001,7,0,198,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Romain Donnez,be BEL,DF,Charleroi,18,2003,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Arnaud Dony,be BEL,"MF,DF",Sint-Truiden,17,2004,3,3,172,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Maidine Douane,fr FRA,MF,R.F.C. Seraing,18,2002,6,0,69,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Idrissa Doumbia,ci CIV,MF,Zulte Waregem,23,1998,19,12,"1,190",13.2,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00
Denis Drăguș,ro ROU,FW,Standard Liège,22,1999,28,12,"1,174",13.0,6,0,6,6,0,0,3,0,0.46,0.00,0.46,0.46,0.46
Rick van Drongelen,nl NED,DF,Mechelen,22,1998,8,5,484,5.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Ferdy Druijf,nl NED,FW,Mechelen,23,1998,14,6,579,6.4,3,0,3,3,0,1,1,0,0.47,0.00,0.47,0.47,0.47
Olivier Dumont,be BEL,MF,Standard Liège,19,2002,2,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Kyle Duncan,us USA,MF,Oostende,23,1997,7,7,528,5.9,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00
Chris Durkin,us USA,MF,Sint-Truiden,21,2000,27,17,"1,506",16.7,0,1,1,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06
Pierre Dwomoh,be BEL,MF,Antwerp,17,2004,5,2,205,2.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Aron Dønnum,no NOR,"MF,FW",Standard Liège,23,1998,25,16,"1,435",15.9,2,0,2,2,0,0,5,0,0.13,0.00,0.13,0.13,0.13
Johannes Eggestein,de GER,FW,Antwerp,23,1998,16,0,262,2.9,0,1,1,0,0,0,0,0,0.00,0.34,0.34,0.00,0.34
Carel Eiting,nl NED,"MF,DF",Genk,23,1998,12,10,775,8.6,0,1,1,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12
Emanuel Emegha,nl NED,FW,Antwerp,18,2003,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Alieu Fadera,gm GAM,"MF,FW",Zulte Waregem,19,2001,18,6,650,7.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Fabio Ferraro,be BEL,MF,Charleroi,18,2002,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Timothy Galje,be BEL,GK,R.F.C. Seraing,20,2001,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Jay-Dee Geusens,be BEL,MF,Genk,19,2002,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Brahim Ghalidi,be BEL,FW,Standard Liège,16,2005,1,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jo Gilis,be BEL,MF,OH Leuven,21,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Silas Gnaka,ci CIV,"DF,MF",Eupen,22,1998,18,11,"1,054",11.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Sergio Gómez,es ESP,DF,Anderlecht,20,2000,34,34,"2,975",33.1,5,11,16,2,3,3,4,0,0.15,0.33,0.48,0.06,0.39
Makhtar Gueye,sn SEN,FW,Oostende,23,1997,31,24,"2,188",24.3,12,1,13,10,2,2,10,0,0.49,0.04,0.53,0.41,0.45
