Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Leroy Abanda,fr FRA,"MF,DF",R.F.C. Seraing,22,2000,17,6,686,7.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Francis Abu,gh GHA,MF,Cercle Brugge,21,2001,26,16,"1,646",18.3,1,3,4,1,0,0,4,0,0.05,0.16,0.22,0.05,0.22
Simon Adingra,ci CIV,"MF,FW",Union SG,20,2002,30,20,"1,905",21.2,11,8,19,11,0,0,1,1,0.52,0.38,0.90,0.52,0.90
Brian Agbor,cm CMR,DF,Gent,21,2001,3,0,61,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Enock Agyei,be BEL,"MF,FW",Mechelen,17,2005,8,3,334,3.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Alessandro Albanese,be BEL,"MF,FW",Oostende,22,2000,11,6,562,6.2,0,0,0,0,0,0,3,2,0.00,0.00,0.00,0.00,0.00
Alfonso,mz MOZ,MF,Oostende,22,1999,20,15,"1,297",14.4,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Teddy Alloh,fr FRA,"DF,MF",Eupen,20,2002,10,5,362,4.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Steven Alzate,co COL,MF,Standard Liège,23,1998,24,23,"1,967",21.9,2,5,7,2,0,0,5,0,0.09,0.23,0.32,0.09,0.32
Francis Amuzu,be BEL,"FW,MF",Anderlecht,22,1999,33,27,"2,299",25.5,3,6,9,3,0,0,4,0,0.12,0.23,0.35,0.12,0.35
Stelios Andreou,cy CYP,DF,Charleroi,20,2002,23,20,"1,803",20.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Nilson Angulo,ec ECU,"FW,MF",Anderlecht,19,2003,6,0,29,0.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Kelvin Arase,at AUT,MF,Oostende,23,1999,10,6,484,5.4,1,2,3,1,0,0,0,0,0.19,0.37,0.56,0.19,0.56
Kristian Arnstad,no NOR,MF,Anderlecht,18,2003,27,12,"1,263",14.0,1,2,3,1,0,0,5,1,0.07,0.14,0.21,0.07,0.21
Tolu Arokodare,ng NGA,FW,Genk,21,2000,5,2,139,1.5,1,1,2,1,0,0,1,0,0.65,0.65,1.29,0.65,1.29
Gerardo Arteaga,mx MEX,DF,Genk,23,1998,32,32,"2,804",31.2,2,2,4,2,0,0,8,1,0.06,0.06,0.13,0.06,0.13
Christalino Atemona,de GER,"DF,MF",Kortrijk,20,2002,10,6,539,6.0,0,1,1,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17
Lynnt Audoor,be BEL,MF,Club Brugge,18,2003,6,0,83,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
